,Col1,0
195,7DEKCBND,1
196,7DEDVCX9,1
197,7DEDVCXD,0
198,7YVDQMXW,0
199,7YVUOO5W,0
200,7YLKCC5W,0
201,7YLW55SD,1
202,7YLW50YE,0
203,7YLW50YG,0
204,7YLW505D,0
205,7YLOGMZE,0
206,7YLOGOSY,0
207,7YL6C04R,0
208,7YL6C0XJ,0
209,7Y0H5OZJ,0
210,7YGOGCS9,0
211,7Y5D5Y5D,0
212,7Y5BL0XR,1
213,7Y5RQ8XD,0
214,7Y56U55D,1
215,7YMO5CY5,0
216,7YMUOBZ9,0
217,7YMHC0KW,0
218,7YMHVOYG,1
219,7YHIOS4W,0
220,7YYDI0SE,0
221,7YYHGO4J,1
222,7YEIL5QE,0
223,7YEILSXJ,1
224,7YEBO8XZ,1
225,7YEBCOYE,1
226,7YEWCMS5,0
227,7YEOC1XR,1
228,7YEOC1K5,1
229,7YEOC15D,0
230,7YEOC1Q5,1
231,7YEUC55G,1
232,7YEUC5QY,0
233,7YE66B4J,1
234,7YE66BKZ,0
235,7YE6OYK9,0
236,7YE6C1XY,1
237,7SVIUYSR,0
238,7SVI65QG,1
239,7SVI6S5Z,0
240,7SVII8YW,0
241,7SVB604J,1
242,7SVBI145,0
243,7SVOC5SR,0
244,7SVULCYG,0
245,7SV66MKG,0
246,7SV6CBQG,0
247,7SV65OYE,0
248,7SVHGBXD,0
249,7SLKOCKR,0
250,7SLKO1QE,1
251,7SLDGM5J,0
252,7SLD6SN9,0
253,7SLDCOXE,0
254,7SLB5BNJ,1
255,7SLWCM5W,1
256,7SLRUSQE,0
257,7SLRO1X5,0
258,7SLUI8SD,1
259,7SL6GYXG,0
260,7SLHIONJ,1
261,7SWKGY5J,0
262,7SWKI5YE,1
263,7SWKI55G,0
264,7SWKISYZ,1
265,7SWKIS5D,1
266,7SWKIYND,0
267,7SWBQMZE,0
268,7SWB655D,0
269,7SWBCM1R,1
270,7SWOOO5Z,0
271,7SW6QOYZ,0
272,7SW6QYSE,0
273,7SW6ICKG,1
274,7SW6ICNR,1
275,7SW6I155,1
276,7SW6VBNZ,0
277,7SW6VBYZ,1
278,7SWHL5YD,0
279,7S0KV8ZG,1
280,7S0DQBYG,1
281,7S0DI05Y,0
282,7S0DI11Z,0
283,7S0WO54Y,1
284,7S0W55KR,0
285,7S0OG15J,1
286,7S0HO0NJ,0
287,7SGDGM5W,1
288,7SGDOSYZ,1
289,7SGDVMY9,0
290,7SGDVMYG,0
291,7SGDVMQJ,0
292,7SGI60NE,0
293,7SGBQCKW,0
294,7SGBIS19,1
295,7SGOQ0N9,1
296,7SGOQ1Q5,1
297,7SGOCSZJ,0
298,7SGUL1Z5,1
299,7SG6UCY5,1
300,7SG6IOKE,0
301,7S5KGMNY,1
302,7S5DIY15,0
303,7S5WC049,0
304,7S5WI0QR,0
305,7S5WVYXD,1
306,7S5R6Y4D,1
307,7S5R60KD,0
308,7S5R5BKD,1
309,7S5R5BN5,0
310,7S5R5YSJ,1
311,7S56ISNE,0
312,7S56VS1Z,0
313,7S5HI5SD,0
314,7SMKC55W,0
315,7SMK5O45,0
316,7SMIUO49,0
317,7SMIU0XD,0
318,7SMBG1Z9,0
319,7SMWV0ZD,1
320,7SMOL8ZW,0
321,7SMOLONY,0
322,7SMRU019,0
323,7SM6OB4Z,0
324,7SHDG5X9,0
325,7SHD68ZJ,0
326,7SHD6ONG,0
327,7SHDO1NY,1
328,7SHIQCKZ,1
329,7SHI6OY9,1
330,7SHWG5XR,0
331,7SHWCCSG,0
332,7SHWVYZJ,0
333,7SHWVYKW,0
334,7SHW5OXJ,0
335,7SHUI8ZZ,0
336,7SH6GYXD,0
337,7SYICYQ5,0
338,7SYRGYZR,0
339,7SYRLOK5,1
340,7SYRLONY,1
341,7SYRQ11J,1
342,7SYRV55D,0
343,7SYUCB59,0
344,7SY6O5QR,0
345,7SY6IBYG,1
346,7SYHCM1E,1
347,7SYHI05J,1
348,7SEKLYKR,0
349,72VKOBNW,1
350,72VK5CKW,0
351,72VDU04W,0
352,72VDU0NG,0
353,72VIUSKD,1
354,72VOV51D,1
355,72VUG0Y5,0
356,72VULM1R,0
357,72VUUSYW,0
358,72V6UOKY,0
359,72VH6OXR,0
360,72VH6OXW,0
361,72LI58KJ,0
362,72LBL115,0
363,72LWUMZZ,0
364,72LWC8ZW,1
365,72LW5BNW,1
366,72LOUB1Y,0
367,72LOOMYY,1
368,72LOCMQD,0
369,72LHIMZJ,0
370,72LHIMKZ,0
371,72LHVB4J,1
372,72WO6Y5E,0
373,72W6GOXG,1
374,72W6COYR,0
375,72W6C5N5,1
376,72W6VOKY,0
377,72W6VC4D,0
378,72W65BKY,1
379,72W65BYJ,0
380,72WHGS49,1
381,720KG0XJ,0
382,720KVMYY,0
383,720OV51E,0
384,720RGOKE,1
385,720UV5N9,1
386,72066YND,0
387,72GKU8X5,1
388,72GK6MYY,0
389,72GDQM15,1
390,72GDO5XZ,1
391,72GDI8QW,0
392,72GD555G,0
393,72GI605G,0
394,72GBLCKE,0
395,72GB6MY9,0
396,72GW5CXJ,0
397,72G6VBK5,0
398,72G6V1N5,0
399,725DL8N5,0
400,725DUYNE,1
401,725ILB19,1
402,725IQ5QR,0
403,725IQ5QW,0
404,725IVOKY,0
405,725BLOQ9,1
406,725BCBZY,0
407,725BIO4Y,0
408,725WIOZZ,1
409,725ROC5D,0
410,725RCY1R,0
411,725UG0QW,0
412,725UU8ND,1
413,725UOMSG,0
414,7256QY45,1
415,7256QYX9,0
416,725HQ5YD,0
417,725HOYSY,0
418,725HCYNR,0
419,72MKLONE,0
420,72MKLOQD,0
421,72MKOMKG,1
422,72MKO0NE,1
423,72MKO0N5,1
424,72MKIMSR,0
425,72MK5S1Z,0
426,72MK5SK5,0
427,72MIU8NY,0
428,72MIQBNE,0
429,72MIQ8XR,0
430,72MIQ8XJ,0
431,72MI5O5Y,0
432,72MBGMNW,0
433,72MWU01D,1
434,72MO605J,0
435,72MOOONZ,0
436,72MOCMQG,0
437,72MO50XY,0
438,72MROBS5,0
439,72MUI0ZG,0
440,72MUV15W,0
441,72MU51NZ,1
442,72M6Q5YY,0
443,72M6OS4D,0
444,72M6I5Z5,0
445,72HKVOS9,0
446,72HK58KZ,0
447,72HK51XD,1
448,72HDC1YR,0
449,72HD5OY5,0
450,72HIOBKJ,0
451,72HII01D,0
452,72HIV0Y5,0
453,72HBIMKY,0
454,72HBIMYZ,1
455,72HWUMNZ,0
456,72HOQBY5,0
457,72HOQYSJ,0
458,72HOVBNJ,1
459,72HOVBY9,1
460,72HOV8XW,0
461,72HOV1QD,0
462,72HO5MXG,1
463,72HRL5Z9,0
464,72HRI1SE,0
465,72HRVYND,0
466,72H6QM4Z,1
467,72H6QM4D,0
468,72H6CS5R,1
469,72HH6M49,0
470,72HH50K9,0
471,72YDQMZY,0
472,72YIOSXG,0
473,72YICOQJ,1
474,72YIC54W,1
475,72YI58NY,0
476,72YBUBSR,0
477,72YBU0YR,1
478,72YBQMXG,1
479,72YWU8Z5,0
480,72YWV5Z9,0
481,72YOQ11Y,0
482,72YO6MSZ,0
483,72YO6BKE,0
484,72YRL5YR,1
485,72YRUBKW,1
486,72YRC0YD,0
487,72YUO85Y,0
488,72Y6LSNZ,1
489,72YHUCSZ,0
490,72EK5OQR,0
491,72EDGMYG,0
492,72EDG8YR,0
493,72EDOMZJ,1
494,72EDOCYW,0
495,72EDISZR,0
496,72EDISZZ,0
497,72EDIYZW,1
498,72EDVMSD,0
499,72EDVB4J,0
500,72EIGYYJ,0
501,72EIL85W,0
502,72EIOOQ5,0
503,72EICSQY,0
504,72EB68XY,0
505,72EB6C5E,0
506,72EBVO55,1
507,72EWQOX5,0
508,72EW6O1G,1
509,72EO65K9,0
510,72EO60QW,0
511,72EOI8YE,0
512,72EOVS45,0
513,72EOVSQ9,0
514,72ERGSKE,0
515,72ERL8N5,1
516,72ERLCY5,0
517,72ERL0YW,0
518,72ERUM1E,0
519,72ER68XD,0
520,72ER60X9,0
521,72EROM4R,0
522,72ER584E,0
523,72EUL0SE,0
524,72EUQ14D,0
525,72EUQ115,0
526,72EU6MXY,0
527,72EUIM55,0
528,72EU5BQE,1
529,72EU555R,1
530,72E6GOQE,0
531,72E66SYD,0
532,72E66Y1G,1
533,72E66YKZ,0
534,72EHQ0QR,0
535,72EHQ0QW,0
536,72EHOOZR,0
537,72EHI5XR,1
538,72EHI51Z,1
539,72EHI51E,1
540,72EHV55R,0
541,7NVKLC5G,1
542,7NVK6OQZ,0
543,7NVK6OQ5,1
544,7NVK58QY,0
545,7NVDOBN9,0
546,7NVDOOS9,0
547,7NVBGOXE,1
548,7NVBUMSY,0
549,7NVBO8QD,0
550,7NVBCYKY,0
551,7NVBV84G,0
552,7NVWQ5ZG,1
553,7NVW6OKE,0
554,7NVWCMKR,0
555,7NVWI0YD,1
556,7NVW50Y9,1
557,7NVOLO4D,0
558,7NVOQM1R,1
559,7NVOOBXE,1
560,7NVOO1KD,1
561,7NVOVBXG,0
562,7NVOVO1D,0
563,7NVROBYW,0
564,7NVROB5Y,1
565,7NVUGBQD,1
566,7NVUI5KD,0
567,7NVUISKR,1
568,7NVUI0XD,0
569,7NV6GMND,1
570,7NV6L8YZ,0
571,7NV6U5S9,1
572,7NV6CMNR,0
573,7NVHUBZE,0
574,7NLKOYXZ,0
575,7NLKOYX9,0
576,7NLKVS4D,0
577,7NLDUC59,0
578,7NLDQ54R,1
579,7NLDOB5W,1
580,7NLDIOKG,0
581,7NLDIOKJ,0
582,7NLDIONW,0
583,7NLI6BXE,0
584,7NLI5MYY,0
585,7NLI5MQW,1
586,7NLI51NG,0
587,7NLI515R,1
588,7NLBGB4R,1
589,7NLBV04E,0
590,7NLWQBSZ,0
591,7NLWQ8NE,0
592,7NLWQ85G,1
593,7NLRGOQY,0
594,7NLRG515,0
595,7NLRU1K9,1
596,7NLRQCZ9,1
597,7NLUIB1R,0
598,7NLUI5XD,0
599,7NL66SZD,0
600,7NL6C549,0
601,7NL6I5NJ,1
602,7NL65MNG,0
603,7NLHL0Z9,0
604,7NWKGM4G,0
605,7NWKU04W,0
606,7NWD5YYZ,0
607,7NWD5YSG,1
608,7NWIG8ND,0
609,7NWIQYS9,0
610,7NWI6YKE,1
611,7NWBVOKG,0
612,7NWBV04W,0
613,7NWB5545,0
614,7NWWQSYR,0
615,7NWOQ8ZD,0
616,7NWOOBZY,1
617,7NWOI84Z,1
618,7NWO58XG,1
619,7NWRUCKJ,0
620,7NWR6YSZ,1
621,7NWR5OSW,0
622,7NWULCS5,1
623,7NWUVSXJ,0
624,7NW6Q5KE,0
625,7NW66BZZ,0
626,7NW6C0N5,0
627,7NW6C05W,0
628,7NW6VSNW,0
629,7NW658XJ,1
630,7NW65OKD,0
631,7NWHLCQG,0
632,7NWHUSNJ,0
633,7NWHU04Z,0
634,7NWHQM5E,0
635,7NWHQC1Y,1
636,7NWHOS5Z,0
637,7NWHO1NG,1
638,7NWH5Y1W,1
639,7N0D5BZR,0
640,7N0D5BK5,0
641,7N0IGMSW,1
642,7N0IL0SR,0
643,7N0IUBXG,0
644,7N0I6M1D,0
645,7N0IVMYD,1
646,7N0BUMZ5,0
647,7N0BQBQ5,1
648,7N0B6MKY,0
649,7N0BOB1J,1
650,7N0WG5X9,1
651,7N0OV51J,1
652,7N0RG15R,0
653,7N0RL5KD,1
654,7N0RLS1Z,1
655,7N0R68YY,1
656,7N0R60NZ,0
657,7N0ROB5D,0
658,7N0UGMKJ,0
659,7N0U65Z5,1
660,7N0U6CND,0
661,7N0U601Y,0
662,7N0UCYK5,1
663,7N0U5CKZ,1
664,7N0HGONE,1
665,7N0H68NG,1
666,7N0H60S9,0
667,7N0HOBKE,1
668,7N0HC8QG,0
669,7N0HV1XG,1
670,7N0H51SE,1
671,7NGKC0NR,0
672,7NGKC0S5,0
673,7NGDU04W,0
674,7NGDQBS5,0
675,7NGDQ1K5,0
676,7NGI5YX9,1
677,7NGBG15Y,0
678,7NGBCBQG,1
679,7NGBVB4J,0
680,7NGBVBXR,1
681,7NGB58X5,0
682,7NGB5CKG,0
683,7NGWGBQJ,1
684,7NGWG8X5,1
685,7NGWLMQZ,1
686,7NGWLB1D,0
687,7NGWLBZD,1
688,7NGOQC55,0
689,7NGOOONR,1
690,7NGRLBY9,0
691,7NGRO0QG,0
692,7NGRV0SY,1
693,7NGR5OKJ,0
694,7NGUGCKJ,0
695,7NGUG15Z,0
696,7NG6GS49,1
697,7NG6GSXR,0
698,7NG6GC1Z,1
699,7NG6GCZG,0
700,7NGH611D,0
701,7NGH61YY,1
702,7NGHV85D,1
703,7N5KGO55,1
704,7N5KQ8XW,0
705,7N5DGYZE,1
706,7N5DGYKJ,0
707,7N5DLOYZ,0
708,7N5DUYKZ,0
709,7N5D6BKY,1
710,7N5DVBNZ,0
711,7N5IQBKZ,0
712,7N5IC8ZY,0
713,7N5ICY4G,0
714,7N5IIBQ5,0
715,7N5II1SR,0
716,7N5BOC5Y,0
717,7N5BCMQY,1
718,7N5BCOSR,0
719,7N5BCOSE,1
720,7N5BC0NZ,0
721,7N5BC0YY,1
722,7N5B511G,0
723,7N5WQBZZ,1
724,7N5WQSKR,0
725,7N5OU14G,1
726,7N5OU1KY,0
727,7N5OCONE,1
728,7N5OCONG,0
729,7N5OC5XE,0
730,7N5OC5XJ,1
731,7N5O50Y9,0
732,7N5UUY1W,0
733,7N5UU059,1
734,7N5HGONZ,0
735,7N5HQBN9,0
736,7N5HOCNZ,0
737,7N5HO1KR,0
738,7N5HC5Y5,1
739,7N5HCSZW,1
740,7N5HV5S9,1
741,7N5HVSXE,0
742,7NMKLYKY,0
743,7NMKQSND,0
744,7NMK6S1W,0
745,7NMKOYZD,1
746,7NMKC84G,0
747,7NMDG04G,1
748,7NMDG0QZ,0
749,7NMDLMYZ,1
750,7NMICCXJ,0
751,7NMII8KD,0
752,7NMII519,0
753,7NMII5ZG,0
754,7NMIV1SW,0
755,7NMBLSNR,0
756,7NMBLYZG,1
757,7NMB68S5,0
758,7NMBC0KZ,1
759,7NMBV8SJ,1
760,7NMBV8QW,0
761,7NMWCS55,1
762,7NMOO5SD,1
763,7NMOO1ZD,0
764,7NMOCO4J,0
765,7NMO5M4W,0
766,7NMO5MYJ,0
767,7NMRUYSZ,0
768,7NMRQO1J,0
769,7NMUVSXZ,0
770,7NMU58X5,1
771,7NMU58ZJ,0
772,7NMU5OK9,1
773,7NM6GBYE,0
774,7NM6GCKG,0
775,7NM6VCKJ,0
776,7NHKU1YE,0
777,7NHKU155,0
778,7NHKU1SD,0
779,7NHK65ZW,0
780,7NHK6045,1
781,7NHDUMQJ,0
782,7NHDU5KD,1
783,7NHDQ11D,0
784,7NHD6OKW,0
785,7NHD6YZJ,0
786,7NHD60Y9,1
787,7NHDOCXY,0
788,7NHDCCYE,0
789,7NHIVOKY,0
790,7NHIV51Y,1
791,7NHBLMKD,0
792,7NHWUMS9,0
793,7NHWUBXZ,1
794,7NHOOM4Y,1
795,7NHOCMQD,0
796,7NHOC5QW,0
797,7NHRLYKD,1
798,7NHRL0S5,0
799,7NHRQSQG,0
800,7NHR6S1Y,1
801,7NHR6Y4Z,0
802,7NHR5OS5,1
803,7NH6O1S9,0
804,7NH6CMYY,1
805,7NH6CMSR,1
806,7NH658XW,0
807,7NHHQMYE,0
808,7NYKL0XZ,0
809,7NYKUS1E,1
810,7NYD58SZ,0
811,7NYIQCXY,0
812,7NYIQC1R,1
813,7NYIQCZZ,1
814,7NYIOBKJ,0
815,7NYIOYYD,1
816,7NYICB1Z,0
817,7NYICC5D,0
818,7NYIIMYW,0
819,7NYBGCYY,1
820,7NYBL51J,0
821,7NYWL8SW,0
822,7NYWL8S9,1
823,7NYWUOXW,0
824,7NYWQYNJ,0
825,7NYW65Q9,1
826,7NYOCBNJ,1
827,7NYOC1N9,0
828,7NYOVM49,0
829,7NYOVOYG,0
830,7NYRUYYR,1
831,7NYROS1E,0
832,7NYRO1QW,0
833,7NYRCM1W,1
834,7NYRCMNZ,0
835,7NYRC8YW,0
836,7NYRC85R,0
837,7NYRC8S9,0
838,7NYRC1ZR,0
839,7NYRIB4R,0
840,7NYRIB4G,1
841,7NY6LSXJ,0
842,7NY6LS1R,0
843,7NY6I8ZD,1
844,7NYHCM5D,1
845,7NYHC85Z,0
846,7NEKLSXG,0
847,7NEKLS1R,0
848,7NEKQ81J,1
849,7NEKIS5G,0
850,7NEKIS55,1
851,7NEK5M5R,0
852,7NED6CNZ,0
853,7NEI68ZY,1
854,7NEICYN5,1
855,7NEBGMX9,0
856,7NEBGMX5,0
857,7NEB511Y,0
858,7NEWQ5XE,1
859,7NEW6CSY,1
860,7NEWC8YY,0
861,7NEOCY49,1
862,7NEOVC5D,0
863,7NEOVCSZ,1
864,7NERLY4G,0
865,7NERO0QJ,0
866,7NER5C4Y,0
867,7NER5CZ9,0
868,7NEULYXR,1
869,7NEU6145,1
870,7NEUCMQJ,0
871,7NEUCBKW,1
872,7NE6Q0Z5,0
873,7NEHQ0XE,0
874,7NEH6BZE,0
875,7NEHCBKJ,0
876,7NEHC1SE,0
877,7NEH5S1E,0
878,7NEH5SZ9,1
879,OIVKG5YW,1
880,OIVDG159,0
881,OIVDU149,1
882,OIVDU1XJ,1
883,OIVDOC5Y,1
884,OIVDOCQR,0
885,OIVIC01Y,1
886,OIVIC0NY,0
887,OIVIC0YW,1
888,OIVI51KJ,0
889,OIVBG5NZ,1
890,OIVBQ1QR,0
891,OIVB6YKZ,0
892,OIVWL8Z9,1
893,OIVWO8QZ,0
894,OIVWOO1W,0
895,OIVOLO15,0
896,OIVU65SE,0
897,OIVUO84G,1
898,OIVUCOXG,1
899,OIV6LMX9,0
900,OIV6Q8KW,1
901,OIV6Q8KG,1
902,OIV665KG,0
903,OIV660SZ,1
904,OIV6OB1G,0
905,OIVHO5KJ,1
906,OIVH551E,0
907,OIVH5SZD,1
908,OILKGSQZ,0
909,OILKQ1KE,0
910,OILKQ155,0
911,OILKVCKR,0
912,OILDO8X5,1
913,OILIUOYG,0
914,OILIU5S9,1
915,OILIU5QR,1
916,OILIO55Z,0
917,OILIOY5E,1
918,OILBG5XR,0
919,OILOO1QW,0
920,OILRU1Z5,1
921,OILRQ85Z,0
922,OILRQ85Y,1
923,OILULY5G,0
924,OILULC4G,1
925,OILUOBKR,1
926,OILUOB5D,1
927,OILUO5XJ,0
928,OILUOYSJ,0
929,OILUCBZW,1
930,OILU5YYY,0
931,OIL6UYZ9,1
932,OIL6UYK9,0
933,OIL6Q54Y,0
934,OIL6V5Z5,0
935,OIL65CNY,0
936,OILHCS5J,0
937,OILHI55R,0
938,OILHI55J,0
939,OILHVCKD,1
940,OILHV0YD,0
941,OILH5YQE,0
942,OIWKLBZZ,0
943,OIWKUOKG,0
944,OIWKC5ZE,0
945,OIWD6BSE,1
946,OIWIIY5E,0
947,OIWI5SNZ,1
948,OIWBO0SD,0
949,OIWWOO5D,0
950,OIWOLYZJ,0
951,OIWOL05E,0
952,OIWOI1XJ,0
953,OIWOVOYZ,1
954,OIWOV5YD,1
955,OIWRQ51W,0
956,OIWUGCYE,0
957,OIWU6BNZ,0
958,OIWUO8S9,1
959,OIWUI1XY,0
960,OIWU5M4J,0
961,OIW668Z5,0
962,OIW6OBQY,0
963,OIW6O0SW,0
964,OIWHIBKR,1
965,OIWHVMS5,0
966,OI0KG0ZJ,1
967,OI0KU1XG,1
968,OI0KCBQJ,0
969,OI0KCOXR,0
970,OI0KC0KW,0
971,OI0KC0NE,0
972,OI0KC1X5,1
973,OI0DQYSJ,1
974,OI0DO5QZ,1
975,OI0I6M1J,1
976,OI0BGS59,1
977,OI0BGYNY,0
978,OI0BGCYR,0
979,OI0BGCY9,0
980,OI0BQCQW,0
981,OI0B6OKE,0
982,OI0BOS5G,0
983,OI0BC019,1
984,OI0BC1SE,0
985,OI0BIS5Y,1
986,OI0BV819,1
987,OI0BVOYD,1
988,OI0OVBQY,0
989,OI0OVYNG,1
990,OI0OV14J,0
991,OI0OV1XR,1
992,OI0RISSW,0
993,OI0ULSSR,1
994,OI0UI8KW,1
995,OI0UI5Z9,1
996,OI0UV1XY,0
997,OI06GCYG,1
998,OI06G1NJ,0
999,OI06U0XY,0
1000,OI0H6O5Y,0
1001,OI0H6S4D,1
1002,OI0H6S1W,0
1003,OI0H6SKD,0
1004,OIGKCSK5,0
1005,OIGKIM4E,1
1006,OIGKIMND,1
1007,OIGDG515,0
1008,OIGIGY4E,0
1009,OIGIUS1W,1
1010,OIGIUCSD,0
1011,OIGI604J,0
1012,OIGICOZZ,0
1013,OIGII0SZ,0
1014,OIGIVMZJ,0
1015,OIGIV8KD,0
1016,OIGI5M5Z,0
1017,OIGBO8ZD,0
1018,OIGBO8N9,1
1019,OIGBIBNG,0
1020,OIGB55KY,0
1021,OIGB5555,0
1022,OIGWUMK9,0
1023,OIGO61Q9,1
1024,OIGOO5YD,1
1025,OIGRUSKJ,0
1026,OIGRUSS9,1
1027,OIGROYNW,1
1028,OIGROYNG,1
1029,OIGROC4Y,0
1030,OIGROC1W,0
1031,OIGUOSS5,1
1032,OIG6U8ZZ,0
1033,OIG6IS5J,0
1034,OIG6V1Y5,0
1035,OIG6555R,0
1036,OIGHG04J,0
1037,OIGHG0ZR,0
1038,OIGH5MQG,0
1039,OI5KG8NW,1
1040,OI5KL5SY,0
1041,OI5KLSKD,1
1042,OI5KLS55,1
1043,OI5KC1YZ,0
1044,OI5KV8ZG,1
1045,OI5KVYKR,0
1046,OI5K5OZD,1
1047,OI5K51NG,0
1048,OI5DGMXW,1
1049,OI5DLBQY,1
1050,OI5DU81Z,0
1051,OI5DU81D,0
1052,OI5DQSX5,1
1053,OI5DI5SD,0
1054,OI5ILOSG,0
1055,OI5IC1ZZ,0
1056,OI5IVCXJ,0
1057,OI5I5BQZ,0
1058,OI5BG5Y5,0
1059,OI5BUYZJ,0
1060,OI5B6S15,0
1061,OI5BOC1G,1
1062,OI5BO15Y,0
1063,OI5WOSSJ,1
1064,OI5WIYZG,0
1065,OI5OG0YR,0
1066,OI5OG0S5,0
1067,OI5OUOZE,0
1068,OI5OQ0SR,0
1069,OI5OC1YJ,1
1070,OI5RUYZG,0
1071,OI5RQ8QR,0
1072,OI5UGBNR,0
1073,OI5U6SSD,0
1074,OI5U5BQE,0
1075,OI56Q01J,0
1076,OI566M1Y,0
1077,OI566B1R,1
1078,OI5H60ZJ,0
1079,OI5HCMKG,0
1080,OI5HCCXZ,1
1081,OI5HV8KZ,0
1082,OI5HVYZG,0
1083,OI5H581G,1
1084,OI5H5C5Z,0
1085,OIMKG0YR,1
1086,OIMKL5QD,0
1087,OIMKOY55,1
1088,OIMKOYSZ,1
1089,OIMDUY59,0
1090,OIMDCB59,0
